original_text,reference_summary
welcome pokémon go video game service accessible via niantic inc niantic mobile device application app . make pokémon go term service term easier read video game service app website located http pokemongo nianticlabs com http www pokemongolive com site collectively called service . please read carefully term trainer guideline privacy policy govern use service . ,hi . 
using service agreeing term trainer guideline privacy policy . parent legal guardian child age 13 parent agreeing term behalf child ren authorized use service pursuant term privacy policy . agree term trainer guideline privacy policy use service . ,playing game agree term . 13 playing parent guardian agrees behalf . 
want use certain feature service create account u account . create account pre existing google account b pre existing pokémon trainer club ptc account c pre existing account facebook pre existing third party account may choose support future notification provided allowing selection pre existing account relevant account creation screen . create account extracting google ptc facebook pre existing third party account certain personal information email address privacy setting applicable account permit u access . important provide u accurate complete date information account agree update information needed keep accurate complete date . might suspend terminate account . agree disclose account password anyone notify u immediately unauthorized use account . responsible activity occur account whether know . registration childrenwe comply child online privacy protection act coppa verification consent process handled ptc . age 13 register create account ptc ptc enable access use service . parent child age 13 must register pokémon company international inc tpci ptc child may use service . tpci requires parent verify parent child consent creation account u child . upon receipt parental verification consent tpci enable parent create account u child . parent consent child access use service verify parent consent consent process niantic bar child registration account prevent child access use service ensure child information accessible service . parent consented child access use service wish rescind consent parent contact u http pokemongo nianticlabs com support delete en submit request . discontinue child access use service ensure child information longer accessible service . parent child age 13 understand agree tpci niantic may provide information submitted tpci niantic collected via service third party use information sole purpose administering providing service e g third party security monitoring service web hosting company . please see privacy policy available athttp www nianticlabs com privacy pokemongo en information collect use disclose information user . ,use google pokemon trainer club facebook sign play . 13 parent guardian . might ban account information inaccurate . 
game play please aware surroundings play safely . agree use app play game risk responsibility maintain health liability hazard personal injury medical life insurance policy deem reasonably necessary injury may incur using service . also agree use app violate applicable law rule regulation including limited law trespass trainer guideline agree encourage enable individual violate applicable law rule regulation trainer guideline . without limiting foregoing agree conjunction use app inflict emotional distress people humiliate people publicly otherwise assault threaten people enter onto private property without permission impersonate person misrepresent affiliation title authority otherwise engage activity may result injury death property damage liability kind . extent permitted applicable law niantic pokémon company tpc tpci disclaim liability related property damage personal injury death may occur use service including claim based violation applicable law rule regulation alleged negligence tort liability . event dispute one user app release niantic tpc tpci officer director agent subsidiary joint venture employee claim demand damage actual consequential every kind nature known unknown suspected unsuspected disclosed undisclosed arising way connected dispute . ,die hurt others fault . 
subject compliance term niantic grant limited nonexclusive nontransferable non sublicensable license download install copy app mobile device run copy app solely personal noncommercial purpose . except expressly permitted term may copy modify create derivative work based app b distribute transfer sublicense lease lend rent app third party c reverse engineer decompile disassemble app make functionality app available multiple user mean . niantic reserve right app expressly granted term . accessed downloaded app apple store agree use app apple branded product device run io apple proprietary operating system software b permitted usage rule set forth apple store term service . accessed downloaded app app store distribution platform like apple store google play amazon appstore app provider acknowledge agree term concluded niantic app provider u app provider niantic solely responsible app . app provider obligation furnish maintenance support service respect app . event failure app conform applicable warranty may notify app provider app provider refund purchase price app applicable maximum extent permitted applicable law app provider warranty obligation whatsoever respect app . claim loss liability damage cost expense attributable failure app conform warranty sole responsibility niantic . app provider responsible addressing claim claim third party relating app possession use app including limited product liability claim ii claim app fails conform applicable legal regulatory requirement iii claim arising consumer protection similar legislation . event third party claim app possession use app infringes third party intellectual property right niantic solely responsible investigation defense settlement discharge intellectual property infringement claim extent required term . app provider subsidiary third party beneficiary term related license app upon acceptance term condition term app provider right deemed accepted right enforce term related license app third party beneficiary thereof . must also comply applicable third party term service using app . agree comply u foreign export law regulation ensure neither app technical data related thereto direct product thereof exported exported directly indirectly violation used purpose prohibited law regulation . using app represent warrant located country subject u government embargo designated u government terrorist supporting country ii listed u government list prohibited restricted party . ,copy modify resell distribute reverse engineer app . 
purpose term content mean text software script graphic photo sound music video audiovisual combination interactive feature work authorship kind information material posted generated provided otherwise made available service b user content mean content account holder including provide made available service . content includes without limitation user content . subject compliance term niantic grant personal noncommercial nonexclusive nontransferable non sublicensable revocable license download view display use content solely connection permitted use service . content ownershipniantic claim ownership right user content nothing term deemed restrict right may use exploit user content . subject foregoing niantic licensors including tpc tpci exclusively right title interest service content including associated intellectual property right . acknowledge service content protected copyright trademark law united state foreign country . agree remove alter obscure copyright trademark service mark proprietary right notice incorporated accompanying service content . right granted youby making user content available service grant niantic nonexclusive perpetual irrevocable transferable sublicensable worldwide royalty free license use copy modify create derivative work based upon publicly display publicly perform distribute user content connection operating providing service content account holder . solely responsible user content . represent warrant user content right necessary grant u license right user content term . also represent warrant neither user content use provision user content made available service use user content niantic service infringe misappropriate violate third party intellectual property right right publicity privacy result violation applicable law regulation . niantic may reject submission niantic belief sole discretion user content inappropriate violates trainer guideline term . niantic reserve right remove user content service time without notice reason . ,grant full ownership user content . hide copyright trademark . 
app permit account holder capture trade virtual item including limited pokémon character creature trading item gameplay . unlike virtual money virtual good see trading item obtained additional charge gameplay . trading item category content niantic grant limited nontransferable non sublicensable revocable license use trading item conjunction personal noncommercial use service . acknowledge acquire ownership right trading item trading item monetary value . trading item may traded account holder trading item trading item never sold transferred exchanged virtual money virtual good real good real money real service compensation consideration u anyone else . also agree obtain trading item account holder mean provided u third party platform exchange broker mechanism unless expressly authorized . may cancel trading item sold transferred exchanged violation term . sale transfer exchange attempt prohibited may result termination account . set forth trading item content provided without warranty . ,trading gon na thing . try bring real money . 
may cancel suspend terminate account access trading item virtual money virtual good content service sole discretion without prior notice including account inactive e used logged one year b fail comply term c suspect fraud misuse trading item virtual money virtual good content suspect unlawful activity associated account e acting protect service system app user reputation niantic tpc tpci . obligation responsibility reimburse refund trading item virtual money virtual good lost due cancellation suspension termination . acknowledge niantic required provide refund reason receive money compensation unused virtual money virtual good account closed whether closure voluntary involuntary . right offer modify eliminate terminate trading item virtual money virtual good content service portion thereof time without notice liability . discontinue use virtual money virtual good provide least 60 day advance notice posting notice site app communication . ,played year mess mess delete virtual good . give back . might even discontinue virtual good entirely give 60 day advance notice happens . 
app permit purchase virtual currency virtual money use virtual money purchase virtual item service expressly make available use app virtual good . purchase virtual money virtual good limited account holder either 18 year age older b age 18 consent parent make purchase . parent child age 18 consult io google play setting app restrict app purchase also monitor child account unexpected activity including purchase virtual money virtual good . purchase virtual money virtual goodsvirtual money category content purchase virtual money grant limited nontransferable non sublicensable revocable license use virtual money access purchase virtual good conjunction personal noncommercial use service . acknowledge acquire ownership right virtual money virtual good content balance virtual good virtual money reflect stored value . agree virtual money virtual good monetary value constitute actual currency property type . virtual money may redeemed virtual good never sold transferred exchanged real money real good real service u anyone else . also agree obtain virtual money virtual good u mean provided u third party platform exchange broker mechanism unless expressly authorized . acquire license virtual money virtual good may trade transfer virtual money virtual good another individual account unless functionality provided u way feature service whether inside app method e g website . may cancel virtual money virtual good sold transferred exchanged violation term . sale transfer exchange attempt prohibited may result termination account . term license virtual money right redeem virtual money selected virtual good . parent accepting term behalf child accept acknowledge child consent exercise right independently . pricing availability virtual money virtual good subject change without notice . reserve right time change update pricing inventory virtual money virtual good . set forth virtual money virtual good content provided without warranty . agree sale u virtual money virtual good final permit exchange refund unused virtual money virtual good transaction made . purchase end user outside u virtual money virtual good may purchased held legal resident country access use service permitted . live european union certain right withdraw online purchase . however please note download virtual money u right withdrawal end . agree purchase virtual money involves immediate download content b lose right withdrawal purchase complete . live european union provide vat invoice required law . agree invoice may electronic format . reserve right control regulate change remove virtual money virtual good without liability . ,spend money coin pokeballs . giving money back . want buy gold online . bad . oh eu give people refund right case . one . 
agree responsible conduct user content using service consequence thereof . please refer trainer guideline http pokemongo nianticlabs com support guideline en information kind conduct user content prohibited using service . way example limitation agree using service content defame abuse harass harm stalk threaten otherwise violate legal right including right privacy publicity others upload post email transmit otherwise make available unlawful inappropriate defamatory obscene pornographic vulgar offensive fraudulent false misleading deceptive content message promote engage discrimination bigotry racism hatred harassment individual group trespass manner attempt gain gain access property location right permission violate encourage conduct would violate applicable law regulation would give rise civil liability upload post otherwise make available commercial message advertisement pyramid scheme disruptive notice impersonate misrepresent affiliation another person entity promote provide instructional information illegal harmful activity substance promote engage physical harm violence injury group individual transmit virus worm defect trojan horse item destructive nature submit fake falsified misleading inappropriate data submission edits removal post upload publish submit transmit content infringes misappropriates violates third party patent copyright trademark trade secret moral right intellectual property right right publicity privacy use display mirror frame service individual element within service niantic name niantic trademark logo proprietary information layout design page form contained page without niantic express written consent access tamper use nonpublic area service niantic computer system technical delivery system niantic provider attempt probe scan test vulnerability niantic system network breach security authentication measure avoid bypass remove deactivate impair descramble otherwise circumvent technological measure implemented niantic niantic provider third party including another user protect service content attempt access search service content download content service use technology mean provided niantic generally available third party web browser including without limitation automation software bot spider crawler data mining tool hack tool agent engine device kind extract scrape index copy mirror service content portion thereof including limited pokéstop database information user gameplay use meta tag hidden text metadata utilizing niantic trademark logo url product name without niantic express written consent forge tcp ip packet header part header information email newsgroup posting way use service content send altered deceptive false source identifying information attempt decipher decompile disassemble reverse engineer software used provide service content interfere attempt interfere access user host network including without limitation sending virus overloading flooding spamming mail bombing service take action imposes may impose unreasonable disproportionately large load service niantic infrastructure delete obscure manner alter attribution warning link appears service content use service content portion thereof commercial purpose benefit third party manner permitted term including limited gathering app item resource sale outside app b performing service app exchange payment outside app c sell resell rent lease app account collect store personally identifiable information service user service without express permission violate applicable law regulation orencourage enable individual foregoing . although obligated monitor access use service content review edit content right purpose operating service ensure compliance term comply applicable law legal requirement . reserve right obligated remove disable access content time without notice including limited sole discretion consider content objectionable violation term . right investigate violation term conduct affect service . may also consult cooperate law enforcement authority prosecute user violate law . ,jerk . hack cheat . ban . also cooperate law enforcement . 
